antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'bottled water'}),frozenset({'other vegetables'}),0.21369933299127758,0.3766033863519754,0.09389430477167779,0.43937575030012005,1.1666802960966403,0.013414412306004236,1.1119686920102883,0.1816953262197024
frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.21369933299127758,0.3496664956387891,0.0792714212416624,0.3709483793517407,1.0608633768988154,0.004547924354255689,1.0338316968184897,0.07296388391749425
frozenset({'rolls/buns'}),frozenset({'bottled water'}),0.3496664956387891,0.21369933299127758,0.0792714212416624,0.22670579603815116,1.0608633768988154,0.004547924354255689,1.0168195532570101,0.08821866043673371
frozenset({'bottled water'}),frozenset({'root vegetables'}),0.21369933299127758,0.23063109286813752,0.05413032324268856,0.2533013205282113,1.0982964932357815,0.004844612529718177,1.0303606103550504,0.11382293591458369
frozenset({'root vegetables'}),frozenset({'bottled water'}),0.23063109286813752,0.21369933299127758,0.05413032324268856,0.2347052280311457,1.0982964932357815,0.004844612529718177,1.0274481099430834,0.1163278754845612
frozenset({'bottled water'}),frozenset({'soda'}),0.21369933299127758,0.3134940995382247,0.07619291944586967,0.3565426170468187,1.1373184298269226,0.009199439477849874,1.066901893814662,0.15355293006190238
frozenset({'soda'}),frozenset({'bottled water'}),0.3134940995382247,0.21369933299127758,0.07619291944586967,0.2430441898527005,1.1373184298269226,0.009199439477849874,1.0387669352266582,0.17587433880408476
frozenset({'bottled water'}),frozenset({'tropical fruit'}),0.21369933299127758,0.2337095946639302,0.05643919958953309,0.26410564225690275,1.1300590488665279,0.006495615096189358,1.041304906435475,0.14636956844134652
frozenset({'tropical fruit'}),frozenset({'bottled water'}),0.2337095946639302,0.21369933299127758,0.05643919958953309,0.2414928649835346,1.130059048866528,0.006495615096189358,1.0366424133790828,0.15019173996408677
frozenset({'bottled water'}),frozenset({'whole milk'}),0.21369933299127758,0.4581836839404823,0.11236531554643407,0.5258103241296519,1.1475972247801696,0.014451767900866663,1.1426151677913374,0.16356864585428352
frozenset({'whole milk'}),frozenset({'bottled water'}),0.4581836839404823,0.21369933299127758,0.11236531554643407,0.24524076147816348,1.1475972247801696,0.014451767900866663,1.0417900528765418,0.237375899405009
frozenset({'bottled water'}),frozenset({'yogurt'}),0.21369933299127758,0.28296562339661363,0.06644433042585941,0.31092436974789917,1.09880615890962,0.0059747654465420325,1.0405742782414997,0.11436003703540414
frozenset({'yogurt'}),frozenset({'bottled water'}),0.28296562339661363,0.21369933299127758,0.06644433042585941,0.23481414324569358,1.09880615890962,0.0059747654465420325,1.0275943551073707,0.1254073393608278
frozenset({'other vegetables'}),frozenset({'brown bread'}),0.3766033863519754,0.13596716264751155,0.05977424320164187,0.1587193460490463,1.1673358696210991,0.008568549315919202,1.0270447005938892,0.22994754411063423
frozenset({'brown bread'}),frozenset({'other vegetables'}),0.13596716264751155,0.3766033863519754,0.05977424320164187,0.439622641509434,1.1673358696210991,0.008568549315919202,1.11245860347964,0.16590633378528538
frozenset({'rolls/buns'}),frozenset({'brown bread'}),0.3496664956387891,0.13596716264751155,0.05336069779374038,0.15260454878943508,1.1223632663796566,0.005817536508835756,1.0196335561138024,0.16764148080716137
frozenset({'brown bread'}),frozenset({'rolls/buns'}),0.13596716264751155,0.3496664956387891,0.05336069779374038,0.3924528301886792,1.1223632663796563,0.005817536508835756,1.0704247121473345,0.12617908368353745
frozenset({'whole milk'}),frozenset({'brown bread'}),0.4581836839404823,0.13596716264751155,0.06977937403796819,0.1522956326987682,1.1200912759618837,0.00748143856119661,1.0192619864673345,0.1978818516042781
frozenset({'brown bread'}),frozenset({'whole milk'}),0.13596716264751155,0.4581836839404823,0.06977937403796819,0.5132075471698113,1.1200912759618837,0.00748143856119661,1.1130335174866062,0.12408743188486798
frozenset({'other vegetables'}),frozenset({'butter'}),0.3766033863519754,0.12647511544381734,0.05720882503848127,0.15190735694822888,1.2010849439841706,0.009577868273082643,1.0299875747216676,0.26856003986048826
frozenset({'butter'}),frozenset({'other vegetables'}),0.12647511544381734,0.3766033863519754,0.05720882503848127,0.45233265720081134,1.2010849439841706,0.009577868273082643,1.138276038994356,0.19165958791805773
